component	stock_path	arch	size	sha256	dt_needed	exported_func_symbols
shared	/usr/lib/libshared.so	ELF32-ARM	542232	94c393a539066e1e5c51abe126f98db5fc48824121fec91487294540de0dfef0	libpthread.so.0;libc.so.6;	1286
rc	/sbin/rc	ELF32-ARM	2028732	d4135c8614e18f4b404b34c31f81df8080fe255aca45ae0a3d1b3072c9691c51	libconn_diag.so;libnvram.so;libshared.so;libcrypt.so.1;libdl.so.2;libgen_util.so;libsys_util.so;libwlcsm.so;libbcm_flashutil.so;libbcm_util.so;libbcm_boardctl.so;libwpa_client.so;libbcm.so;libgcc_s.so.1;libcrypto.so.1.1;libssl.so.1.1;libpthread.so.0;libbwdpi.so;libdisk.so;libwebapi.so;libcfgmnt.so;libvpn.so;libasc.so;libletsencrypt.so;libcurl.so.4;libjson-c.so.2;libm.so.6;libamas-utils.so;liblldpctl.so.4;libjansson.so.4;libasuslog.so;libev.so.4;libsqlite3.so.0;libcodb.so;libc.so.6;	914
httpd	/usr/sbin/httpd	ELF32-ARM	645240	766beb1619352889b229239191262e288b9c5ab05e41b3a4de13b93aff9a3da4	libnvram.so;libshared.so;libwlcsm.so;libbcm_flashutil.so;libgen_util.so;libsys_util.so;libbcm_util.so;libbcm_boardctl.so;libm.so.6;libcrypto.so.1.1;libssl.so.1.1;libdl.so.2;libgcc_s.so.1;libdisk.so;libmssl.so;libvpn.so;libjson-c.so.2;libbwdpi.so;libbwdpi_sql.so;libsqlite3.so.0;libpthread.so.0;libnt.so;libletsencrypt.so;libcfgmnt.so;libcodb.so;libconn_diag.so;libpasswd.so;libasuslog.so;libwebapi.so;libc.so.6;	494
protect_srv	/usr/lib/libptcsrv.so	ELF32-ARM	9576	06e1768ce1a25c38e9f7038db3b325c0166e1c7329d66284c1a5715ff9ccd037	libc.so.6;	31
bsd	/usr/sbin/bsd	ELF32-ARM	204260	501a892d20c3dd6ab3acfd4c1de8ada79649e62587dcb806d0c82f002a277faf	libnvram.so;libwlcsm.so;libshared.so;libgcc_s.so.1;libpthread.so.0;libjson-c.so.2;libc.so.6;	214
networkmap	/usr/sbin/networkmap	ELF32-ARM	93684	9225435f8897b4b26ff11f3aa73407f78397378034362823fb5fbd60e80bbcfd	libgcc_s.so.1;libcurl.so.4;libasc.so;libm.so.6;libshared.so;libnvram.so;libjson-c.so.2;libcrypto.so.1.1;libssl.so.1.1;libwlcsm.so;libbwdpi.so;libnt.so;libsqlite3.so.0;libpthread.so.0;libcodb.so;libconn_diag.so;libamas-utils.so;liblldpctl.so.4;libjansson.so.4;libc.so.6;	133
arpstorm	/usr/sbin/arpstorm	ELF32-ARM	9716	c7aca12c2b77b333512b50b3e761601a671a4f7b9493c9f1d3ca709ae97180d0	libgcc_s.so.1;libcurl.so.4;libasc.so;libm.so.6;libshared.so;libnvram.so;libjson-c.so.2;libcrypto.so.1.1;libssl.so.1.1;libwlcsm.so;libbwdpi.so;libnt.so;libsqlite3.so.0;libpthread.so.0;libcodb.so;libconn_diag.so;libamas-utils.so;liblldpctl.so.4;libjansson.so.4;libc.so.6;	19
asusdiscovery	/usr/sbin/asusdiscovery	ELF32-ARM	13836	f3ea2b17e7842e08c3a5c34d3252072a1764af421f392252aa202391529e1560	libgcc_s.so.1;libcurl.so.4;libasc.so;libm.so.6;libshared.so;libnvram.so;libjson-c.so.2;libcrypto.so.1.1;libssl.so.1.1;libwlcsm.so;libbwdpi.so;libnt.so;libsqlite3.so.0;libpthread.so.0;libcodb.so;libconn_diag.so;libamas-utils.so;liblldpctl.so.4;libjansson.so.4;libc.so.6;	26
fsmd	/usr/sbin/fsmd	ELF32-ARM	18048	cb48166693e565e887990cd59f8d375102874e38ef3dfb37c4e8249648d295db	libshared.so;libnvram.so;libwlcsm.so;libpthread.so.0;libjson-c.so.2;libc.so.6;	59
